"Division","Buyer","Dept","Vendor","Markstyle","first_Wk","regular_num_ordered","Full_Price","Unit_Cost","Q1","R1","regular_sellThru","regular_cost","full_cycle_num_sold","full_cycle_sales","full_ST","full_Rtns","P4P","p1","p2","R2","Q2","ST2"
32,144,144,410,24207,1,22,79,35.16,4,316,0.1818,140.64,20,1034,0.9091,6,0.2632,79,44.875,718,16,0.888888888888889
32,144,144,410,24413,11,18,36,16.02,8,265,0.4444,128.16,17,510,0.9444,2,0.2632,33.125,27.2222222222222,245,9,0.9
32,144,144,969,49283,10,18,179,71.6,13,2228,0.7222,930.8,18,2688,1,3,0.2632,171.384615384615,92,460,5,1
32,144,677,4,71716,12,90,49,13.36,53,2199.01,0.5889,708.08,83,2949.01,0.9222,20,0.2632,41.4907547169811,25,750,30,0.810810810810811
32,144,677,4,71752,12,198,49,17.11,73,2797.97,0.3687,1249.03,191,4906.98,0.9646,26,0.2632,38.3283561643836,17.8729661016949,2109.01,118,0.944
3,145,145,75,84534,12,16,585,275,6,3127,0.375,1650,13,6121,0.8125,7,0.2667,521.166666666667,427.714285714286,2994,7,0.7
3,145,145,75,84664,12,11,340,160,5,1343,0.4545,800,6,1414,0.5455,6,0.2667,268.6,71,71,1,0.166666666666667
3,162,195,139,35658,8,24,184,75.65,14,2502,0.5833,1059.1,18,3133,0.75,2,0.2667,178.714285714286,157.75,631,4,0.4
7,112,113,231,3322,9,102,48,20.4,13,564,0.1275,265.2,68,1779.03,0.6667,17,0.2667,43.3846153846154,22.0914545454545,1215.03,55,0.617977528089888
7,112,113,231,4052,10,136,88,37.4,11,920,0.0809,411.4,64,2761.97,0.4706,29,0.2667,83.6363636363636,34.7541509433962,1841.97,53,0.424
7,112,122,410,22830,10,32,99,44.06,15,1389,0.4688,660.9,23,1661,0.7188,10,0.2667,92.6,34,272,8,0.470588235294118
7,118,736,619,7769,11,12,69,31.4,6,414,0.5,188.4,12,628,1,0,0.2667,69,35.6666666666667,214,6,1
7,118,736,619,7776,12,10,69,31.4,5,317,0.5,157,10,469,1,5,0.2667,63.4,30.4,152,5,1
32,144,75,508,34873,11,72,68,26,26,1610.99,0.3611,676,60,2705.99,0.8333,23,0.2667,61.9611538461538,32.2058823529412,1095,34,0.739130434782609
3,162,195,31,31216,1,8,253,109.25,5,1212,0.625,546.25,6,1229,0.75,6,0.2727,242.4,17,17,1,0.333333333333333
3,162,195,139,38724,9,68,202,88.2,8,1606,0.1176,705.6,54,5501.96,0.7941,39,0.2727,200.75,84.6947826086956,3895.96,46,0.766666666666667
3,162,195,139,38729,13,36,202,83.3,26,4683,0.7222,2165.8,26,4693,0.7222,11,0.2727,180.115384615385,Inf,10,0,0
3,162,195,298,20162,13,8,198,98.91,2,347,0.25,197.82,3,434,0.375,4,0.2727,173.5,87,87,1,0.166666666666667
7,118,118,197,30834,9,34,68,29.04,20,1235.99,0.5882,580.8,33,1837.99,0.9706,10,0.2727,61.7995,46.3076923076923,602,13,0.928571428571429
7,118,118,197,64831,9,66,118,51.04,43,4517.02,0.6515,2194.72,68,5905.01,1.0303,34,0.2727,105.046976744186,55.5196,1387.99,25,1.08695652173913
7,118,118,903,21321,11,24,88,38.7,14,1162,0.5833,541.8,19,1414,0.7917,10,0.2727,83,50.4,252,5,0.5
7,118,118,903,21336,13,12,58,25.2,6,304,0.5,151.2,10,445,0.8333,11,0.2727,50.6666666666667,35.25,141,4,0.666666666666667
7,112,194,4,72370,2,174,39,13.97,32,1212,0.1839,447.04,158,2963.98,0.908,27,0.2727,37.875,13.9046031746032,1751.98,126,0.887323943661972
7,118,701,619,80241,6,14,70,30.45,7,402,0.5,213.15,13,706,0.9286,4,0.2727,57.4285714285714,50.6666666666667,304,6,0.857142857142857
7,112,713,282,32019,4,166,150,60,38,5061.02,0.2289,2280,128,11268.03,0.7711,37,0.2727,133.184736842105,68.9667777777778,6207.01,90,0.703125
7,112,713,282,33012,10,128,125,50,13,1529,0.1016,650,23,2118,0.1797,7,0.2727,117.615384615385,58.9,589,10,0.0869565217391304
7,118,719,665,11888,9,39,49,24.5,6,268,0.1538,147,32,934,0.8205,12,0.2727,44.6666666666667,25.6153846153846,666,26,0.787878787878788
7,118,736,619,50801,7,8,34,15.47,4,102,0.5,61.88,8,199,1,1,0.2727,25.5,24.25,97,4,1
7,111,899,3,78646,4,114,69,20.93,22,1280,0.193,460.46,85,3025.04,0.7456,30,0.2727,58.1818181818182,27.6990476190476,1745.04,63,0.684782608695652
7,111,899,3,78691,4,156,69,30.21,45,2739.99,0.2885,1359.45,125,5141.96,0.8013,28,0.2727,60.8886666666667,30.024625,2401.97,80,0.720720720720721
7,111,899,3,78794,5,288,69,24.26,124,7410.97,0.4306,3008.24,247,11936.97,0.8576,124,0.2727,59.7658870967742,36.7967479674797,4526,123,0.75
31,190,92,853,40341,5,39,49,21.12,9,434,0.2308,190.08,21,778.01,0.5385,8,0.2727,48.2222222222222,28.6675,344.01,12,0.4
32,144,463,665,31518,10,63,69,25.88,18,1135,0.2857,465.84,59,2275.01,0.9365,14,0.2727,63.0555555555556,27.8051219512195,1140.01,41,0.911111111111111
32,144,485,3,74517,7,99,69,1.16,45,2646.99,0.4545,52.2,95,4734.94,0.9596,37,0.2727,58.822,41.759,2087.95,50,0.925925925925926
3,162,195,501,88300,4,24,141,60.8,9,1191,0.375,547.2,15,1615,0.625,7,0.2778,132.333333333333,70.6666666666667,424,6,0.4
7,112,113,231,2530,6,110,98,41.65,8,653,0.0727,333.2,13,1034.01,0.1182,11,0.2778,81.625,76.202,381.01,5,0.0490196078431373
7,112,122,410,22825,11,32,179,79.66,15,2582,0.4688,1194.9,27,3721.01,0.8438,8,0.2778,172.133333333333,94.9175,1139.01,12,0.705882352941177
7,112,122,410,22832,11,40,79,35.16,15,1122,0.375,527.4,38,2214.99,0.95,7,0.2778,74.8,47.5213043478261,1092.99,23,0.92
7,112,122,410,22846,10,40,36,16.02,23,750,0.575,368.46,38,1168,0.95,13,0.2778,32.6086956521739,27.8666666666667,418,15,0.882352941176471
7,112,122,410,22847,10,50,36,16.02,22,751.99,0.44,352.44,48,1348,0.96,7,0.2778,34.1813636363636,22.9234615384615,596.01,26,0.928571428571429
