"Division","Buyer","Dept","Vendor","Markstyle","first_Wk","regular_num_ordered","Full_Price","Unit_Cost","Q1","R1","regular_sellThru","regular_cost","full_cycle_num_sold","full_cycle_sales","full_ST","full_Rtns","P4P","p1","p2","R2","Q2","ST2"
8,70,70,643,54022,3,30,248,123,2,496,0.0667,246,18,2045.01,0.6,8,0,248,96.813125,1549.01,16,0.571428571428571
8,70,70,643,54112,2,32,318,158,1,318,0.0313,158,11,1837,0.3438,8,0,318,151.9,1519,10,0.32258064516129
8,70,70,643,54113,3,48,288,143,4,1031,0.0833,572,17,2287,0.3542,14,0,257.75,96.6153846153846,1256,13,0.295454545454545
8,70,70,643,54197,3,30,198,98,5,990,0.1667,490,24,2825,0.8,7,0,198,96.5789473684211,1835,19,0.76
8,70,70,643,54234,2,29,348,173,4,1340,0.1379,692,18,4121,0.6207,10,0,335,198.642857142857,2781,14,0.56
8,70,70,643,54235,3,30,248,123,2,496,0.0667,246,16,1785,0.5333,3,0,248,92.0714285714286,1289,14,0.5
8,70,70,643,54294,2,30,128,63,11,1386,0.3667,693,21,2105,0.7,4,0,126,71.9,719,10,0.526315789473684
8,70,70,643,54299,3,30,258,128,3,774,0.1,384,22,3070,0.7333,2,0,258,120.842105263158,2296,19,0.703703703703704
8,70,70,643,54402,3,32,548,273,5,2740,0.1563,1365,28,10094.01,0.875,7,0,548,319.739565217391,7354.01,23,0.851851851851852
8,70,70,643,54406,3,32,548,273,3,1644,0.0938,819,14,4012,0.4375,4,0,548,215.272727272727,2368,11,0.379310344827586
8,70,70,643,54546,2,30,388,193,1,388,0.0333,193,6,1169,0.2,1,0,388,156.2,781,5,0.172413793103448
8,70,70,643,54562,3,30,138,68,1,138,0.0333,68,14,861.01,0.4667,4,0,138,55.6161538461538,723.01,13,0.448275862068966
8,70,70,643,54563,2,36,138,68,3,414,0.0833,204,19,1455,0.5278,11,0,138,65.0625,1041,16,0.484848484848485
8,70,70,656,14113,3,20,118,56.26,9,1062,0.45,506.34,19,1763,0.95,3,0,118,70.1,701,10,0.909090909090909
8,70,70,656,14902,1,36,148,70.81,17,2425,0.4722,1203.77,34,4330.01,0.9444,8,0,142.647058823529,112.059411764706,1905.01,17,0.894736842105263
8,70,70,656,14910,1,146,168,80.51,66,10748.99,0.4521,5313.66,143,19817.01,0.9795,26,0,162.863484848485,117.766493506493,9068.02,77,0.9625
8,70,70,656,24301,5,24,188,90.21,6,1100,0.25,541.26,24,3410,1,7,0,183.333333333333,128.333333333333,2310,18,1
8,70,70,656,24724,6,44,128,61.11,17,1795,0.3864,1038.87,44,3908.01,1,8,0,105.588235294118,78.2596296296296,2113.01,27,1
8,70,70,656,24725,5,24,128,61.11,5,640,0.2083,305.55,26,2369,1.0833,4,0,128,82.3333333333333,1729,21,1.10526315789474
8,70,70,656,34185,9,142,148,70.81,47,6409.98,0.331,3328.07,132,14330.01,0.9296,19,0,136.382553191489,93.1768235294118,7920.03,85,0.894736842105263
8,70,70,656,34326,8,50,138,65.96,14,1773,0.28,923.44,49,5912,0.98,3,0,126.642857142857,118.257142857143,4139,35,0.972222222222222
8,70,70,656,34329,9,230,158,75.66,60,8687.97,0.2609,4539.6,184,18968.96,0.8,52,0,144.7995,82.9112096774194,10280.99,124,0.729411764705882
8,70,70,656,34330,8,164,78,36.86,31,2238.98,0.189,1142.66,151,8233.01,0.9207,26,0,72.2251612903226,49.95025,5994.03,120,0.902255639097744
8,70,70,656,34331,8,192,178,85.36,35,5419.97,0.1823,2987.6,155,16419.01,0.8073,58,0,154.856285714286,91.6586666666666,10999.04,120,0.764331210191083
8,70,70,656,34332,9,140,178,85.36,24,3955,0.1714,2048.64,93,9757,0.6643,36,0,164.791666666667,84.0869565217391,5802,69,0.594827586206897
8,70,70,656,34333,9,90,178,85.36,29,4588.01,0.3222,2475.44,76,8809.99,0.8444,20,0,158.20724137931,89.8293617021277,4221.98,47,0.770491803278688
8,70,70,656,34334,8,36,78,36.86,20,1399,0.5556,737.2,36,2454,1,3,0,69.95,65.9375,1055,16,1
8,70,70,656,34345,9,24,198,95.06,7,1287,0.2917,665.42,22,3717,0.9167,11,0,183.857142857143,162,2430,15,0.882352941176471
8,70,70,656,34546,9,136,118,56.26,70,7375.01,0.5147,3938.2,133,12015.02,0.9779,35,0,105.357285714286,73.6509523809524,4640.01,63,0.954545454545455
